change-speed,chepai-location,kilometer,price,shangpai-date,standard,title
自动,郑州,7.75万公里,3.80,6年1个月,国五,福特-福睿斯 2015款 1.5L 自动舒适型
,,,,,,
,,,,,,
自动,北京,6.64万公里,13.50,5年8个月,国五,福特-锐界 2017款 EcoBoost 245 两驱豪锐型 8座
,,,,,,
手动,青岛,5.57万公里,3.72,7年1个月,国四,福特-福睿斯 2015款 1.5L 手动舒适型
自动,云浮,12.36万公里,2.00,12年8个月,国四,福特-蒙迪欧-致胜 2008款 2.3L 时尚型
,,,,,,
,,,,,,
,,,,,,
,,,,,,
自动,成都,10.87万公里,3.00,9年5个月,国四,福特-福克斯 2012款 三厢经典 1.6L 自动基本型
,,,,,,
自动,连云港,12.27万公里,2.98,9年2个月,国五,福特-福克斯 2013款 两厢经典 1.6L 自动基本型
自动,珠海,11.53万公里,19.50,6年4个月,国五,福特-探险者(进口) 2017款 3.5T 运动版
,,,,,,
自动,咸阳,6.65万公里,5.80,7年2个月,国五,福特-福克斯 2012款 两厢 1.7L 自动风尚型
自动,唐山,4.27万公里,9.50,5年7个月,国五,福特-蒙迪欧 2013款 2.0L GTDi200时尚型
自动,呼和浩特,4.78万公里,8.60,6年11个月,国五,福特-蒙迪欧 2013款 2.0L GTDi240豪华运动型
,,,,,,
自动,东莞,17.83万公里,2.80,10年1个月,国四,福特-蒙迪欧-致胜 2011款 2.3L 时尚型
,,,,,,
自动,成都,6.32万公里,7.80,8年6个月,国四,福特-蒙迪欧 2013款 2.0L GTDi200时尚型
自动,成都,7.35万公里,4.30,6年10个月,国五,福特-福克斯 2012款 两厢 1.7L 自动舒适型
,,,,,,
自动,广州,9.86万公里,10.00,5年2个月,国五,福特-蒙迪欧 2018款 EcoBoost 245 豪华运动型
,,,,,,
,,,,,,
自动,赣州,14.06万公里,7.28,7年5个月,国四,福特-蒙迪欧 2013款 2.0L GTDi200豪华型
自动,广州,5.51万公里,3.68,9年2个月,国四,福特-福克斯 2012款 三厢 1.7L 自动风尚型
自动,东莞,11.15万公里,3.50,7年8个月,国四,福特-福克斯 2013款 两厢经典 1.6L 自动基本型
自动,咸阳,6.65万公里,5.80,7年2个月,国五,福特-福克斯 2012款 两厢 1.7L 自动风尚型
自动,合肥,12.42万公里,3.60,7年9个月,国五,福特-福克斯 2012款 三厢 1.7L 自动风尚型
自动,成都,6.32万公里,7.80,8年6个月,国四,福特-蒙迪欧 2013款 2.0L GTDi200时尚型
自动,广州,8.70万公里,4.30,6年,国四,福特-福睿斯 2015款 1.5L 自动时尚型
自动,聊城,4.59万公里,11.88,3年8个月,国五,福特-蒙迪欧 2016款 EcoBoost 200 时尚型
自动,廊坊,6.80万公里,5.60,6年3个月,国五,福特-福克斯 2015款 三厢 1.7L 自动风尚型
自动,杭州,5.01万公里,10.50,5年2个月,国四,福特-蒙迪欧 2018款 EcoBoost 160 时尚型
自动,成都,7.32万公里,4.50,7年8个月,国四,福特-嘉年华 2013款 两厢 1.5L 自动时尚型
自动,连云港,12.27万公里,2.98,9年2个月,国五,福特-福克斯 2013款 两厢经典 1.6L 自动基本型
,,,,,,
自动,珠海,11.53万公里,19.50,6年4个月,国五,福特-探险者(进口) 2017款 3.5T 运动版
自动,德州,8.11万公里,20.00,5年4个月,国五,福特-撼路者 2018款 2.0T 汽油自动四驱旗舰版 8座
,,,,,,
,,,,,,
,,,,,,
手动,重庆,8.19万公里,4.30,5年7个月,国五,福特-福睿斯 2015款 1.5L 手动舒适型
,,,,,,
,,,,,,
,,,,,,
自动,武汉,7.43万公里,5.49,4年,国五,福特-福睿斯 2018款 幸福版 1.5L 自动时尚型
自动,北京,5.24万公里,23.00,3年6个月,国五,福特-探险者(进口) 2016款 2.3T 精英版
自动,合肥,8.20万公里,5.28,7年2个月,国四,福特-福克斯 2012款 两厢 1.7L 自动风尚型
自动,深圳,7.91万公里,5.70,5年2个月,国五,福特-福克斯 2018款 两厢 1.7L 自动舒适型智行版
自动,呼和浩特,14.47万公里,1.00,13年9个月,国三,福特-福克斯 2008款 三厢 1.6L 自动时尚精英型
,,,,,,
,,,,,,
自动,北京,5.06万公里,8.30,5年1个月,国五,福特-蒙迪欧 2018款 EcoBoost 160 时尚型
,,,,,,
自动,九江,10.80万公里,5.60,4年3个月,国五,福特-福克斯 2018款 两厢 EcoBoost 160 自动精英型
自动,韶关,6.89万公里,4.38,6年8个月,国五,福特-福睿斯 2015款 1.5L 自动时尚型
自动,内江,10.16万公里,2.50,10年1个月,国四,福特-福克斯 2011款 三厢 1.6L 自动时尚型
手动,合肥,15.00万公里,2.98,9年3个月,国四,福特-福克斯 2012款 两厢经典 1.6L 手动时尚型
自动,茂名,4.75万公里,7.98,2年11个月,国五,福特-领界 2019款 EcoBoost 145 CVT铂领型
手动,重庆,11.49万公里,1.78,10年10个月,国四,福特-福克斯 2011款 三厢 1.6L 手动舒适型
自动,西安,14.97万公里,1.90,13年6个月,国四,福特-福克斯 2009款 两厢 2.0L 自动运动型
